event_id,commence_time,home_team,away_team,completed,home_score,away_score,last_update
537c0997cd899394f47f16545b7068b2,2026-06-27T21:00:00Z,Croatia,Ghana,True,2.0,1.0,2026-06-29T02:10:50Z
4be17c8e1ccfecb0f2a5ef79e045c415,2026-06-27T21:00:00Z,Panama,England,True,0.0,2.0,2026-06-29T02:10:50Z
67ae5751c401a98409b8566ae4897069,2026-06-27T23:30:00Z,Colombia,Portugal,True,0.0,0.0,2026-06-29T02:10:50Z
13eab94a136b9c264ba974cf437a5f71,2026-06-27T23:30:00Z,DR Congo,Uzbekistan,True,3.0,1.0,2026-06-29T02:10:50Z
8756200e539155e571557c4f2e0d7f05,2026-06-28T02:00:00Z,Algeria,Austria,True,3.0,3.0,2026-06-29T02:10:50Z
54697f453437ab26276d773be1d72e9b,2026-06-28T02:00:00Z,Jordan,Argentina,True,1.0,3.0,2026-06-29T02:10:50Z
def55b09ef3d6854e3c01e74b5c63415,2026-06-28T19:00:00Z,South Africa,Canada,True,0.0,1.0,2026-07-01T09:28:35Z
4f3d72fba877939d36a5315618184093,2026-06-29T17:00:00Z,Brazil,Japan,True,2.0,1.0,2026-07-02T07:36:16Z
4930db8e83436874d09e59bd0e29c1a5,2026-06-29T20:30:00Z,Germany,Paraguay,True,1,1,2026-07-02T20:16:17Z
5a34afe2de99513ba48360b983cfe80c,2026-06-30T00:59:00Z,Netherlands,Morocco,True,1,1,2026-07-02T20:16:17Z
ce017bea1a26252278053ce759e2416b,2026-06-30T17:00:00Z,Ivory Coast,Norway,True,1,2,2026-07-02T20:16:17Z
0b5491529142c9bcc3f88bf45ccb0a7b,2026-06-30T21:00:00Z,France,Sweden,True,3,0,2026-07-02T20:16:17Z
f58c55a9da96af562c31b7c5cca40187,2026-07-01T02:00:00Z,Mexico,Ecuador,True,2,0,2026-07-02T20:16:17Z
5ff7744314f224c18d1604ee9cc19263,2026-07-01T16:00:00Z,England,DR Congo,True,2,1,2026-07-02T20:16:17Z
658ac8cbf214ca3cc150109b4ddc1e74,2026-07-01T20:00:00Z,Belgium,Senegal,True,3,2,2026-07-02T20:16:17Z
