match,score,result,model_prob,fair_odds,market_score_odds,edge,value,home_lambda,away_lambda
South Korea vs Czechia,0-6,A,0.00018241044603957372,5482.142178321582,,,False,1.03,1.0
South Korea vs Czechia,6-2,H,0.00010890380600221614,9182.415534491518,,,False,1.03,1.0
South Korea vs Czechia,2-6,A,9.675962110169189e-05,10334.889581151063,,,False,1.03,1.0
South Korea vs Czechia,5-4,H,5.286592524379424e-05,18915.776001052523,,,False,1.03,1.0
South Korea vs Czechia,4-5,A,5.132614101339247e-05,19483.249281084103,,,False,1.03,1.0
South Korea vs Czechia,6-3,H,3.630126866740538e-05,27547.246603474552,,,False,1.03,1.0
South Korea vs Czechia,3-6,A,3.322080324491421e-05,30101.620139274943,,,False,1.03,1.0
South Korea vs Czechia,5-5,D,1.0573185048758848e-05,94578.88000526263,,,False,1.03,1.0
South Korea vs Czechia,6-4,H,9.075317166851344e-06,110188.98641389821,,,False,1.03,1.0
South Korea vs Czechia,4-6,A,8.55435683556541e-06,116899.49568650461,,,False,1.03,1.0
South Korea vs Czechia,6-5,H,1.815063433370269e-06,550944.932069491,,,False,1.03,1.0
South Korea vs Czechia,5-6,A,1.7621975081264746e-06,567473.2800315758,,,False,1.03,1.0
South Korea vs Czechia,6-6,D,3.025105722283781e-07,3305669.592416947,,,False,1.03,1.0
Canada vs Bosnia,1-0,H,0.15330024630612407,6.523146727390821,5.7,-0.1261885960550928,False,1.44,0.8
Canada vs Bosnia,1-1,D,0.12264019704489924,8.153933409238526,6.2,-0.2396307783216246,False,1.44,0.8
Canada vs Bosnia,2-0,H,0.11037617734040932,9.05992601026503,6.5,-0.2825548472873395,False,1.44,0.8
Canada vs Bosnia,0-0,D,0.10645850437925282,9.393331287442782,9.5,0.011355791602901899,False,1.44,0.8
Canada vs Bosnia,2-1,H,0.08830094187232745,11.324907512831288,7.0,-0.3818934068937079,False,1.44,0.8
Canada vs Bosnia,0-1,A,0.08516680350340225,11.741664109303478,10.5,-0.10574856321427628,False,1.44,0.8
Canada vs Bosnia,3-0,H,0.052980565123396474,18.874845854718814,,,False,1.44,0.8
Canada vs Bosnia,1-2,A,0.0490560788179597,20.384833523096315,,,False,1.44,0.8
Canada vs Bosnia,3-1,H,0.042384452098717176,23.593557318398517,,,False,1.44,0.8
Canada vs Bosnia,2-2,D,0.03532037674893099,28.312268782078213,,,False,1.44,0.8
Canada vs Bosnia,0-2,A,0.034066721401360904,29.354160273258696,,,False,1.44,0.8
Canada vs Bosnia,4-0,H,0.01907300344442273,52.43012737421893,,,False,1.44,0.8
Canada vs Bosnia,3-2,H,0.016953780839486874,58.98389329599628,,,False,1.44,0.8
Canada vs Bosnia,4-1,H,0.015258402755538183,65.53765921777367,,,False,1.44,0.8
Canada vs Bosnia,1-3,A,0.013081621018122592,76.44312571161116,,,False,1.44,0.8
Canada vs Bosnia,2-3,A,0.009418767133048265,106.17100793279329,,,False,1.44,0.8
Canada vs Bosnia,0-3,A,0.00908445904036291,110.07810102472007,,,False,1.44,0.8
Canada vs Bosnia,4-2,H,0.006103361102215274,163.84414804443412,,,False,1.44,0.8
Canada vs Bosnia,5-0,H,0.005493024991993746,182.0490533827046,,,False,1.44,0.8
Canada vs Bosnia,3-3,D,0.004521008223863167,221.18959985998603,,,False,1.44,0.8
Canada vs Bosnia,5-1,H,0.004394419993594996,227.56131672838077,,,False,1.44,0.8
Canada vs Bosnia,1-4,A,0.0026163242036245176,382.21562855805587,,,False,1.44,0.8
Canada vs Bosnia,2-4,A,0.0018837534266096525,530.8550396639665,,,False,1.44,0.8
Canada vs Bosnia,0-4,A,0.0018168918080725817,550.3905051236005,,,False,1.44,0.8
Canada vs Bosnia,5-2,H,0.0017577679974379989,568.9032918209518,,,False,1.44,0.8
Canada vs Bosnia,4-3,H,0.0016275629605907401,614.4155551666278,,,False,1.44,0.8
Canada vs Bosnia,6-0,H,0.001318325998078499,758.5377224279359,,,False,1.44,0.8
Canada vs Bosnia,6-1,H,0.0010546607984627991,948.1721530349199,,,False,1.44,0.8
Canada vs Bosnia,3-4,A,0.0009042016447726333,1105.9479992999302,,,False,1.44,0.8
Canada vs Bosnia,5-3,H,0.00046873813265013313,2133.387344328569,,,False,1.44,0.8
Canada vs Bosnia,6-2,H,0.0004218643193851197,2370.4303825872994,,,False,1.44,0.8
Canada vs Bosnia,1-5,A,0.00041861187257992286,2388.847678487849,,,False,1.44,0.8
Canada vs Bosnia,4-4,D,0.00032551259211814794,3072.07777583314,,,False,1.44,0.8
Canada vs Bosnia,2-5,A,0.00030140054825754446,3317.8439978997903,,,False,1.44,0.8
Canada vs Bosnia,0-5,A,0.0002907026892916131,3439.940657022503,,,False,1.44,0.8
Canada vs Bosnia,3-5,A,0.00014467226316362133,6912.174995624564,,,False,1.44,0.8
Canada vs Bosnia,6-3,H,0.00011249715183603194,8889.11393470237,,,False,1.44,0.8
Canada vs Bosnia,5-4,H,9.374762653002661e-05,10666.936721642845,,,False,1.44,0.8
Canada vs Bosnia,1-6,A,5.5814916343989726e-05,17916.357588658866,,,False,1.44,0.8
Canada vs Bosnia,4-5,A,5.208201473890368e-05,19200.48609895712,,,False,1.44,0.8
Canada vs Bosnia,2-6,A,4.01867397676726e-05,24883.829984248423,,,False,1.44,0.8
Canada vs Bosnia,0-6,A,3.876035857221509e-05,25799.554927668763,,,False,1.44,0.8
Canada vs Bosnia,6-4,H,2.2499430367206383e-05,44445.56967351187,,,False,1.44,0.8
Canada vs Bosnia,3-6,A,1.928963508848285e-05,51841.312467184216,,,False,1.44,0.8
Canada vs Bosnia,5-5,D,1.4999620244804259e-05,66668.35451026779,,,False,1.44,0.8
Canada vs Bosnia,4-6,A,6.944268631853825e-06,144003.64574217837,,,False,1.44,0.8
