match_id,date,competition,league_name,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff,home_expected_score,away_expected_score,elo_home_change,elo_away_change,home_lambda,away_lambda,model_home_prob,model_draw_prob,model_away_prob,top_score_1,top_score_1_prob,top_score_2,top_score_2_prob,top_score_3,top_score_3_prob
E0_2324_248,2024-02-20,E0,Premier League,Man City,Brentford,1,0,H,1641.628828613028,1428.3454626070854,1646.4237328394595,1423.550558380654,213.28336600594253,0.8401698591189473,0.1598301408810527,4.794904226431582,-4.794904226431582,2.300929122035586,0.7920713343780319,0.7130971741067732,0.17439115615060785,0.11251166974261902,2-0,0.1201663963857781,1-0,0.1044503242059619,2-1,0.09518035793268277
E0_2324_249,2024-02-21,E0,Premier League,Liverpool,Luton,4,1,H,1666.6987390219922,1408.3521665420658,1672.01463437876,1403.036271185298,258.3465724799264,0.8720153979197292,0.1279846020802708,5.315895356767803,-5.315895356767803,2.575312854555113,0.7076810092321145,0.7756054228123503,0.14432375279602064,0.08007082439162908,2-0,0.1245804523025366,3-0,0.10694454674700424,1-0,0.09674976155396696
I1_2324_247,2024-02-22,I1,Serie A,Torino,Lazio,0,2,A,1530.7897674990447,1527.2741783305105,1508.0088554664635,1550.0550903630915,3.515589168534234,0.6111080071569265,0.3888919928430735,-22.780912032581316,22.780912032581316,1.3619174076159326,1.3381868752161175,0.3763877487340657,0.25815955349439407,0.3654526977715402,1-1,0.12247228843015925,1-0,0.09152106532981798,0-1,0.08992636979693928
F1_2324_198,2024-02-23,F1,Ligue 1,Metz,Lyon,1,2,A,1384.683005862419,1471.83993886776,1370.2076487558083,1486.3152959743704,-87.15693300534099,0.4825119035536827,0.5174880964463173,-14.47535710661048,14.47535710661048,1.0856862330652892,1.6786617942593012,0.2456680968476234,0.24210628991022598,0.5122256132421508,1-1,0.1148565333619731,0-1,0.10579164574804556,1-2,0.09640263718790652
D1_2324_198,2024-02-23,D1,Bundesliga,Leverkusen,Mainz,2,1,H,1710.291792951784,1404.892808661118,1713.3120277375124,1401.87257387539,305.398984290666,0.8993255071423905,0.1006744928576095,3.0202347857282863,-3.0202347857282863,2.89678659858749,0.6291454126750912,0.8326217896819175,0.1133823891313675,0.05399582118671503,2-0,0.12383137867629142,3-0,0.1195710260780312,4-0,0.08659293648054901
SP1_2324_250,2024-02-23,SP1,La Liga,Sociedad,Villarreal,1,3,A,1554.0577032020922,1450.0360637049075,1526.5830790010673,1477.5106879059324,104.02163949718464,0.737018905075477,0.262981094924523,-27.474624201024977,27.474624201024977,1.7509503386489171,1.04086332991391,0.5401591200096744,0.23555272201788996,0.22428815797243573,1-1,0.11174748530896647,1-0,0.10736038257607665,2-1,0.09783214862244988
I1_2324_248,2024-02-23,I1,Serie A,Bologna,Verona,2,0,H,1588.1466711431171,1409.5627046104448,1595.1738092407982,1402.5355665127638,178.58396653267232,0.8114939229496769,0.188506077050323,7.027138097681088,-7.027138097681088,2.1097395604049267,0.863850701861136,0.660683222805739,0.19645163751112796,0.14286513968313316,2-0,0.11380607494454226,1-0,0.1078863733518835,2-1,0.09831145771690387
E0_2324_253,2024-02-24,E0,Premier League,Man United,Fulham,1,2,A,1566.985716163015,1450.811024352728,1544.4751590586427,1473.3215814571004,116.17469181028696,0.750351903479079,0.249648096520921,-22.51055710437237,22.51055710437237,1.8049652183302556,1.0097147476813795,0.5602308572557692,0.23023275117029474,0.2095363915739361,1-1,0.1092236623658776,1-0,0.10817279099536702,2-1,0.09857245579452821
I1_2324_251,2024-02-24,I1,Serie A,Genoa,Udinese,2,0,H,1482.7663457497583,1458.9591263870975,1496.2430437187602,1445.4824284180957,23.807219362660817,0.6384816364193917,0.3615183635806083,13.47669796900196,-13.47669796900196,1.4327886366409743,1.2719950126577386,0.4085022122538688,0.25695501535236853,0.3345427723937626,1-1,0.12190084902085424,1-0,0.09583437655636048,2-1,0.0873290756369835
I1_2324_250,2024-02-24,I1,Serie A,Salernitana,Monza,0,2,A,1345.5516478939287,1490.6724376504412,1330.624167039568,1505.599918504802,-145.12078975651252,0.4004362539890804,0.5995637460109196,-14.927480854360844,14.927480854360844,0.9392276579381792,1.9404241182598974,0.176694015279507,0.21576654980251983,0.6075394349179732,0-1,0.10898403313788509,0-2,0.10573762320299405,1-1,0.10236081819675273
