match_id,date,competition,home_team,away_team,home_goals,away_goals,result,status,league_name,home_elo,away_elo,elo_diff,home_expected_score,away_expected_score,home_elo_after,away_elo_after,elo_home_change,elo_away_change
E0_2324_196,2024-01-01,E0,Liverpool,Newcastle,4,2,H,finished,Premier League,1614.0297670743826,1493.6718035597826,120.35796351459999,0.7548355750524605,0.24516442494753954,1621.3846998228087,1486.3168708113565,7.3549327484261084,-7.3549327484261084
E0_2324_197,2024-01-02,E0,West Ham,Brighton,0,0,D,finished,Premier League,1552.9326309723697,1523.4606185993912,29.472012372978497,0.6459740794205971,0.35402592057940285,1548.5534085897518,1527.839840982009,-4.379222382617854,4.379222382617854
SP1_2324_180,2024-01-02,SP1,Getafe,Vallecano,0,2,A,finished,La Liga,1528.3431294376617,1467.3750717969688,60.968057640692905,0.6862606694712428,0.31373933052875724,1507.7553093535244,1487.962891881106,-20.58782008413732,20.58782008413732
SP1_2324_181,2024-01-02,SP1,Sociedad,Alaves,1,1,D,finished,La Liga,1554.7567333111278,1434.4298955438974,120.32683776723047,0.7548024157698557,0.24519758423014426,1547.112660838032,1442.0739680169931,-7.644072473095775,7.644072473095775
SP1_2324_182,2024-01-02,SP1,Valencia,Villarreal,3,1,H,finished,La Liga,1495.201928154644,1455.8222447486044,39.3796834060397,0.6589059101086385,0.3410940898913615,1505.434750851385,1445.5894220518635,10.232822696740868,-10.232822696740868
SP1_2324_183,2024-01-03,SP1,Granada,Cadiz,2,0,H,finished,La Liga,1374.7905810590612,1447.2747528073132,-72.48417174825204,0.5036205046141143,0.49637949538588566,1389.6819659206378,1432.3833679457366,14.891384861576626,-14.891384861576626
SP1_2324_184,2024-01-03,SP1,Celta,Betis,2,1,H,finished,La Liga,1426.4876364609586,1548.340385890775,-121.85274942981641,0.4329792470034983,0.5670207529965017,1443.4982590508537,1531.32976330088,17.010622589895092,-17.010622589895092
SP1_2324_185,2024-01-03,SP1,Real Madrid,Mallorca,1,0,H,finished,La Liga,1641.572182648733,1470.2234151745774,171.34876747415547,0.80503999103035,0.19496000896965004,1647.4209829178224,1464.374614905488,5.848800269089452,-5.848800269089452
SP1_2324_186,2024-01-03,SP1,Girona,Ath Madrid,4,3,H,finished,La Liga,1641.247244705989,1572.7800692888793,68.46717541710973,0.6954795680383073,0.30452043196169265,1650.3828576648398,1563.6444563300286,9.135612958850743,-9.135612958850743
SP1_2324_187,2024-01-04,SP1,Osasuna,Almeria,1,0,H,finished,La Liga,1456.1038523213947,1363.4944657914457,92.609386529949,0.7240892445583303,0.27591075544166965,1464.3811749846448,1355.2171431281956,8.277322663250061,-8.277322663250061
