match_id,bookmaker,home_odds,draw_odds,away_odds,timestamp,league_name
E0_2324_154,B365,1.85,3.6,4.33,2023-12-09,Premier League
E0_2324_155,B365,3.3,3.6,2.1,2023-12-09,Premier League
E0_2324_156,B365,3.1,3.5,2.25,2023-12-10,Premier League
E0_2324_157,B365,2.38,3.5,2.9,2023-12-10,Premier League
E0_2324_158,B365,17.0,8.0,1.14,2023-12-10,Premier League
E0_2324_159,B365,2.15,3.8,3.1,2023-12-10,Premier League
E0_2324_160,B365,4.2,4.2,1.73,2023-12-15,Premier League
E0_2324_161,B365,1.22,6.5,13.0,2023-12-16,Premier League
E0_2324_162,B365,1.18,8.0,13.0,2023-12-16,Premier League
E0_2324_163,B365,1.8,3.8,4.0,2023-12-16,Premier League
E0_2324_164,B365,3.6,3.4,2.1,2023-12-16,Premier League
E0_2324_165,B365,1.44,5.0,6.0,2023-12-17,Premier League
E0_2324_166,B365,3.2,3.75,2.1,2023-12-17,Premier League
E0_2324_167,B365,2.15,3.5,3.3,2023-12-17,Premier League
E0_2324_168,B365,1.3,6.0,8.0,2023-12-17,Premier League
E0_2324_169,B365,3.3,3.3,2.15,2023-12-21,Premier League
E0_2324_170,B365,1.22,6.5,12.0,2023-12-22,Premier League
E0_2324_171,B365,2.6,3.6,2.6,2023-12-23,Premier League
E0_2324_172,B365,1.67,3.75,5.25,2023-12-23,Premier League
E0_2324_173,B365,4.75,4.2,1.65,2023-12-23,Premier League
E0_2324_174,B365,2.75,3.4,2.55,2023-12-23,Premier League
E0_2324_175,B365,1.75,4.2,4.0,2023-12-23,Premier League
E0_2324_176,B365,2.38,3.6,2.8,2023-12-23,Premier League
E0_2324_177,B365,3.75,3.75,1.91,2023-12-24,Premier League
E0_2324_178,B365,1.5,4.33,5.75,2023-12-26,Premier League
E0_2324_179,B365,2.15,3.6,3.2,2023-12-26,Premier League
E0_2324_180,B365,2.3,3.3,3.1,2023-12-26,Premier League
E0_2324_181,B365,6.5,5.25,1.4,2023-12-26,Premier League
E0_2324_182,B365,2.6,3.5,2.6,2023-12-26,Premier League
E0_2324_183,B365,1.95,3.5,4.2,2023-12-27,Premier League
E0_2324_184,B365,1.67,4.0,5.0,2023-12-27,Premier League
E0_2324_185,B365,5.75,4.0,1.57,2023-12-27,Premier League
E0_2324_186,B365,2.5,3.6,2.6,2023-12-28,Premier League
E0_2324_187,B365,1.33,5.5,7.5,2023-12-28,Premier League
E0_2324_188,B365,6.5,4.2,1.5,2023-12-30,Premier League
E0_2324_189,B365,1.36,5.25,7.5,2023-12-30,Premier League
E0_2324_190,B365,2.2,3.3,3.4,2023-12-30,Premier League
E0_2324_191,B365,1.08,11.0,29.0,2023-12-30,Premier League
E0_2324_192,B365,2.63,3.3,2.7,2023-12-30,Premier League
E0_2324_193,B365,3.2,3.6,2.15,2023-12-30,Premier League
E0_2324_194,B365,5.25,4.5,1.55,2023-12-31,Premier League
E0_2324_195,B365,1.75,4.2,4.0,2023-12-31,Premier League
E0_2324_196,B365,1.45,4.5,7.0,2024-01-01,Premier League
E0_2324_197,B365,2.45,3.75,2.75,2024-01-02,Premier League
E0_2324_198,B365,2.0,3.6,3.6,2024-01-12,Premier League
E0_2324_199,B365,1.6,4.2,5.25,2024-01-13,Premier League
E0_2324_200,B365,5.5,4.33,1.55,2024-01-13,Premier League
E0_2324_201,B365,2.8,3.5,2.45,2024-01-14,Premier League
E0_2324_202,B365,2.2,3.75,3.0,2024-01-14,Premier League
E0_2324_203,B365,1.3,5.75,9.0,2024-01-20,Premier League
E0_2324_204,B365,1.91,3.6,4.0,2024-01-20,Premier League
E0_2324_205,B365,3.4,3.3,2.2,2024-01-21,Premier League
E0_2324_206,B365,4.2,4.5,1.7,2024-01-21,Premier League
E0_2324_207,B365,1.65,4.33,5.0,2024-01-22,Premier League
E0_2324_208,B365,7.5,5.0,1.4,2024-01-30,Premier League
E0_2324_209,B365,2.45,3.2,3.0,2024-01-30,Premier League
E0_2324_210,B365,4.2,4.2,1.75,2024-01-30,Premier League
E0_2324_211,B365,1.62,3.6,6.5,2024-01-30,Premier League
E0_2324_212,B365,1.85,4.0,3.8,2024-01-30,Premier League
E0_2324_213,B365,1.08,12.0,21.0,2024-01-31,Premier League
E0_2324_214,B365,1.67,4.2,4.75,2024-01-31,Premier League
E0_2324_215,B365,1.57,4.33,5.25,2024-01-31,Premier League
E0_2324_216,B365,2.4,3.75,2.75,2024-02-01,Premier League
E0_2324_217,B365,2.63,3.6,2.55,2024-02-01,Premier League
E0_2324_218,B365,3.0,3.6,2.25,2024-02-03,Premier League
E0_2324_219,B365,1.7,4.0,4.75,2024-02-03,Premier League
E0_2324_220,B365,2.9,3.4,2.38,2024-02-03,Premier League
E0_2324_221,B365,1.44,4.75,6.5,2024-02-03,Premier League
E0_2324_222,B365,5.25,4.2,1.62,2024-02-03,Premier League
